index,DOI,SMILES
43,10.1016/j.synthmet.2014.11.002,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(c2c1nsn2)/C=C/c1ccc(cc1)N(c1ccc(cc1)/C=C(\c1ccc(cc1)N(=O)=O)/C#N)c1ccccc1
44,10.1016/j.synthmet.2014.11.002,CCCC[C@H](COc1c2sc(cc2c(c2c1cc(s2)c1ccc(c2c1nsn2)/C=C/N(c1ccc(cc1)/C=C(/c1ccc(cc1)N(=O)=O)\C#N)c1ccccc1)OC[C@H](CCCC)CC)c1ccc(c2c1nsn2)/C=C/N(c1ccc(cc1)/C=C(/c1ccc(cc1)N(=O)=O)\C#N)c1ccccc1)CC
45,10.1021/acsami.6b03371,N#CC(=Cc1cnc(nc1)c1cc2c(s1)c1c(C2(Cc2ccccc2)Cc2ccccc2)cc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)C#N
46,10.1021/jacs.5b00305,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC
47,10.1016/j.orgel.2019.01.026,CCCCCCC[C@H](Cc1sc(c2c1C(=O)c1c(sc(c1C2=O)c1ccc(s1)/C=C/1\SC(=S)N(C1=O)CC)c1ccc(s1)c1sc2c(c1)c(c1ccc(s1)C[C@@H](CCCC)CC)c1c(c2c2ccc(s2)C[C@H](CCCC)CC)cc(s1)c1ccc(s1)c1sc(c2c1C(=O)c1c(C2=O)c(sc1C[C@@H](CCCCCC)CCCC)C[C@H](CCCCCC)CCCC)c1ccc(s1)[CH]C1=[S]C(=S)N(C1=O)CC)C[C@H](CCCCCC)CCCC)CCCC
48,10.1021/jacs.5b00305,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N
49,10.1021/jacs.5b00305,CCCCCCCCc1cc(sc1c1cc(c(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N
50,10.1021/jacs.5b00305,CCCCCCCCc1cc(sc1c1cc(c(s1)c1cc(c(s1)c1cc(c(s1)c1cc(c(s1)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N)CCCCCCCC)CCCCCCCC)CCCCCCCC)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C/1\SC(N(C1=O)CC)[C](C#N)C#N
51,10.1039/c5ta00016e,CCCC[C@H](CN1C(=O)/C(=C/2\c3sc(cc3N(C2=O)C[C@@H](CCCC)CC)c2ccccc2)/c2c1cc(s2)c1ccccc1)CC
52,10.1039/c5ta00016e,CCCCC[C@H](CN1C(=O)/C(=C/2\c3sc(cc3N(C2=O)C[C@@H](CCCC)CC)c2ccc3c(c2)cccc3)/c2c1cc(s2)c1ccc2c(c1)cccc2)CC
