Polymer,Polymer_SMILES,Solvent,Solvent_SMILES,Sum_of_Frags,SD,Polymer_SELFIES,Solvent_SELFIES,Polymer_BigSMILES,Solvent_BigSMILES,PS_manual_tokenized,SP_manual_tokenized,PS_manual_tokenized_aug,SP_manual_tokenized_aug
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Ethanol,CCO,"[1, 1, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0]",2.76,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[C][C][O],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]Cc1ccccc1[>][]},CCO,"[0, 0, 0, 0, 5, 10, 11, 12, 1, 25]","[0, 0, 0, 0, 25, 1, 5, 10, 11, 12]","[[0, 0, 0, 0, 5, 10, 11, 12, 1, 25], [0, 0, 0, 0, 12, 5, 10, 11, 1, 25], [0, 0, 0, 0, 11, 12, 5, 10, 1, 25], [0, 0, 0, 0, 10, 11, 12, 5, 1, 25]]","[[0, 0, 0, 0, 25, 1, 5, 10, 11, 12], [0, 0, 0, 0, 25, 1, 12, 5, 10, 11], [0, 0, 0, 0, 25, 1, 11, 12, 5, 10], [0, 0, 0, 0, 25, 1, 10, 11, 12, 5]]"
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Ethanol,CCO,"[3, 1, 0, 2, 0, 0, 0, 1, 4, 1, 0, 0]",2.28,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[C][C][O],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]Cc1ccccc1[>][]},CCO,"[5, 10, 11, 10, 13, 10, 2, 12, 1, 25]","[25, 1, 5, 10, 11, 10, 13, 10, 2, 12]","[[5, 10, 11, 10, 13, 10, 2, 12, 1, 25], [12, 5, 10, 11, 10, 13, 10, 2, 1, 25], [2, 12, 5, 10, 11, 10, 13, 10, 1, 25], [10, 2, 12, 5, 10, 11, 10, 13, 1, 25], [13, 10, 2, 12, 5, 10, 11, 10, 1, 25], [10, 13, 10, 2, 12, 5, 10, 11, 1, 25], [11, 10, 13, 10, 2, 12, 5, 10, 1, 25], [10, 11, 10, 13, 10, 2, 12, 5, 1, 25]]","[[25, 1, 5, 10, 11, 10, 13, 10, 2, 12], [25, 1, 12, 5, 10, 11, 10, 13, 10, 2], [25, 1, 2, 12, 5, 10, 11, 10, 13, 10], [25, 1, 10, 2, 12, 5, 10, 11, 10, 13], [25, 1, 13, 10, 2, 12, 5, 10, 11, 10], [25, 1, 10, 13, 10, 2, 12, 5, 10, 11], [25, 1, 11, 10, 13, 10, 2, 12, 5, 10], [25, 1, 10, 11, 10, 13, 10, 2, 12, 5]]"
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Ethanol,CCO,"[1, 1, 0, 0, 5, 2, 0, 0, 3, 1, 0, 0]",3.17,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][C][O],{[][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]C=O[>][<]}{[>][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]Cc1ccccc1[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]C[>][<]}{[>][<]Cc1ccccc1[>][]},CCO,"[0, 14, 15, 16, 12, 10, 17, 12, 1, 25]","[0, 25, 1, 14, 15, 16, 12, 10, 17, 12]","[[0, 14, 15, 16, 12, 10, 17, 12, 1, 25], [0, 12, 14, 15, 16, 12, 10, 17, 1, 25], [0, 17, 12, 14, 15, 16, 12, 10, 1, 25], [0, 10, 17, 12, 14, 15, 16, 12, 1, 25], [0, 12, 10, 17, 12, 14, 15, 16, 1, 25], [0, 16, 12, 10, 17, 12, 14, 15, 1, 25], [0, 15, 16, 12, 10, 17, 12, 14, 1, 25]]","[[0, 25, 1, 14, 15, 16, 12, 10, 17, 12], [0, 25, 1, 12, 14, 15, 16, 12, 10, 17], [0, 25, 1, 17, 12, 14, 15, 16, 12, 10], [0, 25, 1, 10, 17, 12, 14, 15, 16, 12], [0, 25, 1, 12, 10, 17, 12, 14, 15, 16], [0, 25, 1, 16, 12, 10, 17, 12, 14, 15], [0, 25, 1, 15, 16, 12, 10, 17, 12, 14]]"
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Ethanol,CCO,"[4, 2, 0, 0, 5, 2, 0, 0, 4, 1, 0, 0]",6.3,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[C][C][O],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]C=O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]Cc1ccc2c(c1)C(C)CC2(C)C[>][]},CCO,"[0, 0, 0, 16, 15, 14, 10, 18, 1, 25]","[0, 0, 0, 25, 1, 16, 15, 14, 10, 18]","[[0, 0, 0, 16, 15, 14, 10, 18, 1, 25], [0, 0, 0, 18, 16, 15, 14, 10, 1, 25], [0, 0, 0, 10, 18, 16, 15, 14, 1, 25], [0, 0, 0, 14, 10, 18, 16, 15, 1, 25], [0, 0, 0, 15, 14, 10, 18, 16, 1, 25]]","[[0, 0, 0, 25, 1, 16, 15, 14, 10, 18], [0, 0, 0, 25, 1, 18, 16, 15, 14, 10], [0, 0, 0, 25, 1, 10, 18, 16, 15, 14], [0, 0, 0, 25, 1, 14, 10, 18, 16, 15], [0, 0, 0, 25, 1, 15, 14, 10, 18, 16]]"
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Ethanol,CCO,"[3, 1, 0, 2, 4, 2, 0, 0, 5, 1, 0, 0]",1.25,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][C][O],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]Cc1ccccc1[>][]},CCO,"[16, 13, 10, 2, 10, 13, 14, 12, 1, 25]","[25, 1, 16, 13, 10, 2, 10, 13, 14, 12]","[[16, 13, 10, 2, 10, 13, 14, 12, 1, 25], [12, 16, 13, 10, 2, 10, 13, 14, 1, 25], [14, 12, 16, 13, 10, 2, 10, 13, 1, 25], [13, 14, 12, 16, 13, 10, 2, 10, 1, 25], [10, 13, 14, 12, 16, 13, 10, 2, 1, 25], [2, 10, 13, 14, 12, 16, 13, 10, 1, 25], [10, 2, 10, 13, 14, 12, 16, 13, 1, 25], [13, 10, 2, 10, 13, 14, 12, 16, 1, 25]]","[[25, 1, 16, 13, 10, 2, 10, 13, 14, 12], [25, 1, 12, 16, 13, 10, 2, 10, 13, 14], [25, 1, 14, 12, 16, 13, 10, 2, 10, 13], [25, 1, 13, 14, 12, 16, 13, 10, 2, 10], [25, 1, 10, 13, 14, 12, 16, 13, 10, 2], [25, 1, 2, 10, 13, 14, 12, 16, 13, 10], [25, 1, 10, 2, 10, 13, 14, 12, 16, 13], [25, 1, 13, 10, 2, 10, 13, 14, 12, 16]]"
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Methanol,CO,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]",2.57,[C][/C][Branch1_1][C][C][=C][Branch1_1][C][C][\Siexpl][Branch1_1][C][C][Branch1_1][C][C][C],[C][O],{[][<]CCC[>][<]}{[>][<]CC[Si](C)(C)C[>][]},CO,"[0, 0, 0, 0, 0, 0, 2, 3, 1, 5]","[0, 0, 0, 0, 0, 0, 5, 1, 2, 3]","[[0, 0, 0, 0, 0, 0, 2, 3, 1, 5], [0, 0, 0, 0, 0, 0, 3, 2, 1, 5]]","[[0, 0, 0, 0, 0, 0, 5, 1, 2, 3], [0, 0, 0, 0, 0, 0, 5, 1, 3, 2]]"
PDMS,C[Si](C)(C)OC,Methanol,CO,"[3, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0]",0.4,[C][Siexpl][Branch1_1][C][C][Branch1_1][C][C][O][C],[C][O],{[][<]C[Si](C)C[>][<]}{[>][<]CO[>][]},CO,"[0, 0, 0, 0, 0, 0, 4, 5, 1, 5]","[0, 0, 0, 0, 0, 0, 5, 1, 4, 5]","[[0, 0, 0, 0, 0, 0, 4, 5, 1, 5], [0, 0, 0, 0, 0, 0, 5, 4, 1, 5]]","[[0, 0, 0, 0, 0, 0, 5, 1, 4, 5], [0, 0, 0, 0, 0, 0, 5, 1, 5, 4]]"
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Methanol,CO,"[1, 575, 0, 75, 25, 25, 0, 0, 0, 1, 0, 0]",11.47,[C][N][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][C][C][C][C][O][C][C][C][C][O][C][C][C][C][C],[C][O],{[][<]CNCCCCCCCCCCCC=O[>][<]}{[>][<]CCCCCOCCCCOCCCCCO[>][]},CO,"[0, 0, 0, 0, 0, 0, 6, 7, 1, 5]","[0, 0, 0, 0, 0, 0, 5, 1, 6, 7]","[[0, 0, 0, 0, 0, 0, 6, 7, 1, 5], [0, 0, 0, 0, 0, 0, 7, 6, 1, 5]]","[[0, 0, 0, 0, 0, 0, 5, 1, 6, 7], [0, 0, 0, 0, 0, 0, 5, 1, 7, 6]]"
PAN,CCC(C)C#N,Methanol,CO,"[1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",2.91,[C][C][C][Branch1_1][C][C][C][#N],[C][O],{[][<]CC[>][<]}{[>][<]CCC#N[>][]},CO,"[0, 0, 0, 0, 0, 0, 8, 9, 1, 5]","[0, 0, 0, 0, 0, 0, 5, 1, 8, 9]","[[0, 0, 0, 0, 0, 0, 8, 9, 1, 5], [0, 0, 0, 0, 0, 0, 9, 8, 1, 5]]","[[0, 0, 0, 0, 0, 0, 5, 1, 8, 9], [0, 0, 0, 0, 0, 0, 5, 1, 9, 8]]"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Methanol,CO,"[1, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0]",3.29,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[C][O],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]Cc1ccccc1[>][]},CO,"[0, 0, 0, 0, 5, 10, 11, 12, 1, 5]","[0, 0, 0, 0, 5, 1, 5, 10, 11, 12]","[[0, 0, 0, 0, 5, 10, 11, 12, 1, 5], [0, 0, 0, 0, 12, 5, 10, 11, 1, 5], [0, 0, 0, 0, 11, 12, 5, 10, 1, 5], [0, 0, 0, 0, 10, 11, 12, 5, 1, 5]]","[[0, 0, 0, 0, 5, 1, 5, 10, 11, 12], [0, 0, 0, 0, 5, 1, 12, 5, 10, 11], [0, 0, 0, 0, 5, 1, 11, 12, 5, 10], [0, 0, 0, 0, 5, 1, 10, 11, 12, 5]]"
PSf,COc4ccc(S(=O)(=O)c3ccc(Oc2ccc(C(C)(C)c1ccc(C)cc1)cc2)cc3)cc4,Methanol,CO,"[3, 0, 0, 2, 0, 0, 0, 1, 4, 1, 0, 0]",2.63,[C][O][C][=C][C][=C][Branch2_1][Branch1_1][C][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][#C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S][C][=C][Ring2][Ring1][Branch1_3][C][=C][Ring2][Ring1][S],[C][O],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]Cc1ccccc1[>][]},CO,"[5, 10, 11, 10, 13, 10, 2, 12, 1, 5]","[5, 1, 5, 10, 11, 10, 13, 10, 2, 12]","[[5, 10, 11, 10, 13, 10, 2, 12, 1, 5], [12, 5, 10, 11, 10, 13, 10, 2, 1, 5], [2, 12, 5, 10, 11, 10, 13, 10, 1, 5], [10, 2, 12, 5, 10, 11, 10, 13, 1, 5], [13, 10, 2, 12, 5, 10, 11, 10, 1, 5], [10, 13, 10, 2, 12, 5, 10, 11, 1, 5], [11, 10, 13, 10, 2, 12, 5, 10, 1, 5], [10, 11, 10, 13, 10, 2, 12, 5, 1, 5]]","[[5, 1, 5, 10, 11, 10, 13, 10, 2, 12], [5, 1, 12, 5, 10, 11, 10, 13, 10, 2], [5, 1, 2, 12, 5, 10, 11, 10, 13, 10], [5, 1, 10, 2, 12, 5, 10, 11, 10, 13], [5, 1, 13, 10, 2, 12, 5, 10, 11, 10], [5, 1, 10, 13, 10, 2, 12, 5, 10, 11], [5, 1, 11, 10, 13, 10, 2, 12, 5, 10], [5, 1, 10, 11, 10, 13, 10, 2, 12, 5]]"
P84,Cc7ccc(Cc6ccc(c5ccc(n4c(=O)c3ccc(C(=O)c2ccc1c(=O)n(C)c(=O)c1c2)cc3c4=O)c(C)c5)cc6)cc7,Methanol,CO,"[1, 0, 0, 0, 5, 2, 0, 0, 3, 1, 0, 0]",2.5,[C][C][=C][C][=C][Branch2_1][Branch1_2][=N][C][C][=C][C][=C][Branch2_1][Branch1_1][S][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][Branch1_1][C][C][=C][Ring2][Ring1][S][C][=C][Ring2][Ring2][Branch1_2][C][=C][Ring2][Ring2][=N],[C][O],{[][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]C=O[>][<]}{[>][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]Cc1ccccc1[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]C[>][<]}{[>][<]Cc1ccccc1[>][]},CO,"[0, 14, 15, 16, 12, 10, 17, 12, 1, 5]","[0, 5, 1, 14, 15, 16, 12, 10, 17, 12]","[[0, 14, 15, 16, 12, 10, 17, 12, 1, 5], [0, 12, 14, 15, 16, 12, 10, 17, 1, 5], [0, 17, 12, 14, 15, 16, 12, 10, 1, 5], [0, 10, 17, 12, 14, 15, 16, 12, 1, 5], [0, 12, 10, 17, 12, 14, 15, 16, 1, 5], [0, 16, 12, 10, 17, 12, 14, 15, 1, 5], [0, 15, 16, 12, 10, 17, 12, 14, 1, 5]]","[[0, 5, 1, 14, 15, 16, 12, 10, 17, 12], [0, 5, 1, 12, 14, 15, 16, 12, 10, 17], [0, 5, 1, 17, 12, 14, 15, 16, 12, 10], [0, 5, 1, 10, 17, 12, 14, 15, 16, 12], [0, 5, 1, 12, 10, 17, 12, 14, 15, 16], [0, 5, 1, 16, 12, 10, 17, 12, 14, 15], [0, 5, 1, 15, 16, 12, 10, 17, 12, 14]]"
Matrimid,Cc1ccc7c(c1)C(C)(c6ccc(n5c(=O)c4ccc(C(=O)c3ccc2c(=O)n(C)c(=O)c2c3)cc4c5=O)cc6)CC7(C)C,Methanol,CO,"[4, 1, 0, 0, 5, 2, 0, 0, 4, 1, 0, 0]",8.01,[C][C][=C][C][=C][C][Branch1_2][Ring2][=C][Ring1][Branch1_2][C][Branch1_1][C][C][Branch2_1][Branch1_1][=N][C][=C][C][=C][Branch2_1][Ring2][P][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Ring1][O][C][Branch1_2][C][=O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring2][C][Ring2][Ring1][Branch2_1][=O][C][=C][Ring2][Ring1][#C][C][C][Ring2][Ring2][Branch1_2][Branch1_1][C][C][C],[C][O],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]C=O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]Cc1ccc2c(c1)C(C)CC2(C)C[>][]},CO,"[0, 0, 0, 16, 15, 14, 10, 18, 1, 5]","[0, 0, 0, 5, 1, 16, 15, 14, 10, 18]","[[0, 0, 0, 16, 15, 14, 10, 18, 1, 5], [0, 0, 0, 18, 16, 15, 14, 10, 1, 5], [0, 0, 0, 10, 18, 16, 15, 14, 1, 5], [0, 0, 0, 14, 10, 18, 16, 15, 1, 5], [0, 0, 0, 15, 14, 10, 18, 16, 1, 5]]","[[0, 0, 0, 5, 1, 16, 15, 14, 10, 18], [0, 0, 0, 5, 1, 18, 16, 15, 14, 10], [0, 0, 0, 5, 1, 10, 18, 16, 15, 14], [0, 0, 0, 5, 1, 14, 10, 18, 16, 15], [0, 0, 0, 5, 1, 15, 14, 10, 18, 16]]"
PEI,Cc7cccc(n6c(=O)c5ccc(Oc4ccc(C(C)(C)c3ccc(Oc2ccc1c(=O)n(C)c(=O)c1c2)cc3)cc4)cc5c6=O)c7,Methanol,CO,"[3, 0, 0, 2, 4, 2, 0, 0, 5, 1, 0, 0]",2.28,[C][C][=C][C][=C][C][Branch2_1][Branch1_2][=C][N][C][Branch1_2][C][=O][C][=C][C][=C][Branch2_1][Branch1_1][Branch2_1][O][C][=C][C][=C][Branch2_1][Ring2][O][C][Branch1_1][C][C][Branch1_1][C][C][C][=C][C][=C][Branch2_1][Ring1][Branch2_1][O][C][=C][C][=C][C][Branch1_2][C][=O][N][Branch1_1][C][C][C][Branch1_2][C][=O][C][Ring1][Branch2_1][=C][Ring1][N][C][=C][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][N][C][=C][Ring2][Ring2][Ring1][C][Ring2][Ring2][Branch1_3][=O][=C][Ring2][Ring2][=C],[C][O],{[][<]CN1C(=O)c2ccccc2C1=O[>][<]}{[>][<]O[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]CCC[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O[>][<]}{[>][<]O=C1NC(=O)c2ccccc21[>][<]}{[>][<]Cc1ccccc1[>][]},CO,"[16, 13, 10, 2, 10, 13, 14, 12, 1, 5]","[5, 1, 16, 13, 10, 2, 10, 13, 14, 12]","[[16, 13, 10, 2, 10, 13, 14, 12, 1, 5], [12, 16, 13, 10, 2, 10, 13, 14, 1, 5], [14, 12, 16, 13, 10, 2, 10, 13, 1, 5], [13, 14, 12, 16, 13, 10, 2, 10, 1, 5], [10, 13, 14, 12, 16, 13, 10, 2, 1, 5], [2, 10, 13, 14, 12, 16, 13, 10, 1, 5], [10, 2, 10, 13, 14, 12, 16, 13, 1, 5], [13, 10, 2, 10, 13, 14, 12, 16, 1, 5]]","[[5, 1, 16, 13, 10, 2, 10, 13, 14, 12], [5, 1, 12, 16, 13, 10, 2, 10, 13, 14], [5, 1, 14, 12, 16, 13, 10, 2, 10, 13], [5, 1, 13, 14, 12, 16, 13, 10, 2, 10], [5, 1, 10, 13, 14, 12, 16, 13, 10, 2], [5, 1, 2, 10, 13, 14, 12, 16, 13, 10], [5, 1, 10, 2, 10, 13, 14, 12, 16, 13], [5, 1, 13, 10, 2, 10, 13, 14, 12, 16]]"
PTMSP,C/C(C)=C(C)\[Si](C)(C)C,Water,O,"[4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1]",0.03,[C][/C][Branch1_1][C][C][=C][Branch1_1][C][C][\Siexpl][Branch1_1][C][C][Branch1_1][C][C][C],[O],{[][<]CCC[>][<]}{[>][<]CC[Si](C)(C)C[>][]},O,"[0, 0, 0, 0, 0, 0, 2, 3, 1, 13]","[0, 0, 0, 0, 0, 0, 13, 1, 2, 3]","[[0, 0, 0, 0, 0, 0, 2, 3, 1, 13], [0, 0, 0, 0, 0, 0, 3, 2, 1, 13]]","[[0, 0, 0, 0, 0, 0, 13, 1, 2, 3], [0, 0, 0, 0, 0, 0, 13, 1, 3, 2]]"
PDMS,C[Si](C)(C)OC,Water,O,"[2, 0, 0, 1, 0, 0, 0, 0, 0, 2, 1, 0]",0.86,[C][Siexpl][Branch1_1][C][C][Branch1_1][C][C][O][C],[O],{[][<]C[Si](C)C[>][<]}{[>][<]CO[>][]},O,"[0, 0, 0, 0, 0, 0, 4, 5, 1, 13]","[0, 0, 0, 0, 0, 0, 13, 1, 4, 5]","[[0, 0, 0, 0, 0, 0, 4, 5, 1, 13], [0, 0, 0, 0, 0, 0, 5, 4, 1, 13]]","[[0, 0, 0, 0, 0, 0, 13, 1, 4, 5], [0, 0, 0, 0, 0, 0, 13, 1, 5, 4]]"
PEBAX,CNCCCCCCCCCCCC(=O)OCCCCCOCCCCOCCCCC,Water,O,"[0, 575, 0, 75, 25, 25, 0, 0, 0, 2, 0, 0]",0.3,[C][N][C][C][C][C][C][C][C][C][C][C][C][C][Branch1_2][C][=O][O][C][C][C][C][C][O][C][C][C][C][O][C][C][C][C][C],[O],{[][<]CNCCCCCCCCCCCC=O[>][<]}{[>][<]CCCCCOCCCCOCCCCCO[>][]},O,"[0, 0, 0, 0, 0, 0, 6, 7, 1, 13]","[0, 0, 0, 0, 0, 0, 13, 1, 6, 7]","[[0, 0, 0, 0, 0, 0, 6, 7, 1, 13], [0, 0, 0, 0, 0, 0, 7, 6, 1, 13]]","[[0, 0, 0, 0, 0, 0, 13, 1, 6, 7], [0, 0, 0, 0, 0, 0, 13, 1, 7, 6]]"
PES,COc2ccc(S(=O)(=O)c1ccc(C)cc1)cc2,Water,O,"[0, 0, 0, 1, 0, 0, 0, 1, 2, 2, 0, 0]",0.56,[C][O][C][=C][C][=C][Branch2_1][Ring1][Ring1][S][Branch1_2][C][=O][Branch1_2][C][=O][C][=C][C][=C][Branch1_1][C][C][C][=C][Ring1][Branch1_3][C][=C][Ring1][S],[O],{[][<]CO[>][<]}{[>][<]c1ccccc1[>][<]}{[>][<]O=S=O[>][<]}{[>][<]Cc1ccccc1[>][]},O,"[0, 0, 0, 0, 5, 10, 11, 12, 1, 13]","[0, 0, 0, 0, 13, 1, 5, 10, 11, 12]","[[0, 0, 0, 0, 5, 10, 11, 12, 1, 13], [0, 0, 0, 0, 12, 5, 10, 11, 1, 13], [0, 0, 0, 0, 11, 12, 5, 10, 1, 13], [0, 0, 0, 0, 10, 11, 12, 5, 1, 13]]","[[0, 0, 0, 0, 13, 1, 5, 10, 11, 12], [0, 0, 0, 0, 13, 1, 12, 5, 10, 11], [0, 0, 0, 0, 13, 1, 11, 12, 5, 10], [0, 0, 0, 0, 13, 1, 10, 11, 12, 5]]"
