index,SMILES,Fragments
102,N#CC(=Cc1ccc(s1)c1ccc2c(c1)[C@@H]1CCC[C@@H]1N2c1ccc(cc1)C)C#N,
103,N#CC(=Cc1ccc(s1)c1ccc(s1)c1ccc2c(c1)[C@@H]1CCC[C@@H]1N2c1ccc(cc1)C)C#N,
104,CCCCCCC1(CCCCCC)c2cc(sc2c2c1cc(s2)c1ccc2c(c1)[C@@H]1CCC[C@H]1N2c1ccc(cc1)C)C=C(C#N)C#N,
105,N#CC(=Cc1ccc(s1)c1ccc(c2c1nsn2)c1ccc2c(c1)[C@@H]1CCC[C@@H]1N2c1ccc(cc1)C)C#N,
106,CCCCCCc1c(/C=C/c2sc(c3c2OCCO3)/C=C/c2sc(c(c2CCCCCC)CCCCCC)C=C(C#N)C#N)sc(c1CCCCCC)C=C(C#N)C#N,
107,CCCCCCc1c(/C=C/c2sc(c3c2OCCO3)/C=C/c2sc(c(c2CCCCCC)CCCCCC)/C=C/c2sc(c(c2CCCCCC)CCCCCC)C=C(C#N)C#N)sc(c1CCCCCC)/C=C/c1sc(c(c1CCCCCC)CCCCCC)C=C(C#N)C#N,
108,CCCCCCc1c(/C=C/c2sc(c3c2OCCO3)/C=C/c2sc(c(c2CCCCCC)CCCCCC)/C=C/c2sc(c(c2CCCCCC)CCCCCC)/C=C/c2sc(c(c2CCCCCC)CCCCCC)C=C(C#N)C#N)sc(c1CCCCCC)/C=C\c1sc(c(c1CCCCCC)CCCCCC)/C=C/c1sc(c(c1CCCCCC)CCCCCC)C=C(C#N)C#N,
109,CCCCCCc1cc(sc1C=C(C#N)C#N)/C=C/c1sc(c2c1OCCO2)/C=C/c1cc(c(s1)C=C(C#N)C#N)CCCCCC,
110,CCCCCCc1c([CH]C2=[S]C(=S)N(C2=O)CC)sc(c1CCCCCC)/C=C/c1sc(c2c1OCCO2)/C=C/c1sc(c(c1CCCCCC)CCCCCC)/C=C\1/SC(=S)N(C1=O)CC,
111,CCCCCCc1cc(sc1/C=C/c1sc(c2c1OCCO2)/C=C/c1sc(cc1CCCCCC)/C=C\1/SC(=S)N(C1=O)CC)/C=C/1\SC(=S)N(C1=O)CC,
112,CCCCCCc1ccc(s1)c1csc(c1)c1cc(F)c(c2c1nsn2)c1sc2c(c1)[Ge@](c1c2sc(c1)c1c(F)cc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)(C[C@H](CCCC)CC)C[C@H](CCCC)CC,
113,CCCCCCc1ccc(s1)c1ccc(s1)c1ccc(o1)c1nc2c(s1)nc(s2)c1ccc(o1)c1ccc(s1)c1ccc(s1)CCCCCC,
114,CCCCCCc1ccc(s1)c1ccc(s1)c1ccc(cc1)/C(=C(/c1ccc(cc1)c1ccc(s1)c1ccc(s1)CCCCCC)\C#N)/C#N,
115,CCCC[C@@H](C[C@]1(C[C@H](CCCC)CC)c2cc(sc2c2c1cc(s2)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CC)CCCCCCCC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CC)CCCCCCCC)CC,
116,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CC)c1sc2c(c1)[Si@](c1c2sc(c1)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CC)(C[C@H](CCCC)CC)C[C@H](CCCC)CC,
117,CCCCCCc1cc(sc1c1ccc(s1)c1cc(cc(c1)c1ccc(s1)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)c1ccc2c(c1)N(C[C@@H](CCCC)CC)C(=O)/C/2=C\1/C(=O)N(c2c1cc(F)cc2)C[C@@H](CCCC)CC)c1ccc(s1)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)c1ccc2c(c1)N(C[C@@H](CCCC)CC)C(=O)/C/2=C\1/C(=O)N(c2c1cc(F)cc2)C[C@@H](CCCC)CC)c1sc(cc1CCCCCC)c1ccc2c(c1)N(C[C@@H](CCCC)CC)C(=O)/C/2=C\1/C(=O)N(c2c1ccc(c2)F)C[C@@H](CCCC)CC,
118,CCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)c1ccc2c(c1)N(C[C@@H](CCCC)CC)C(=O)/C/2=C/1\c2cc(F)ccc2N(C1=O)C[C@@H](CCCC)CC)c1sc(cc1CCCCCC)c1ccc2c(c1)N(C[C@@H](CCCC)CC)C(=O)/C/2=C/1\c2cc(F)ccc2N(C1=O)C[C@@H](CCCC)CC,
119,CCCCCCCCN1c2ccc(cc2C([C@@H]1[CH]C1=C(O)[C](C1=O)c1ccc(n1C)c1ccc(s1)c1ccc(cc1)N(c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccc2c(c1)C(C)(C)c1c2cccc1)(C)C)c1ccc(s1)/C=C(/C(=O)OCCCCCC)\C#N,
120,c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)/N=C/c1ccc(s1)c1ccc(c2c1nsn2)c1ccc(s1)/C=N/c1ccc(cc1)N(c1ccccc1)c1ccccc1,
121,CCCC[C@H](COc1ccc(cc1)c1c2cc(sc2c(c2c1sc(c2)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(/C(=O)OCCCCCCCC)\C#N)c1ccc(cc1)OC[C@H](CCCC)CC)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(/C(=O)OCCCCCCCC)\C#N)CC,
122,CCCC[C@H](COc1ccc(cc1F)c1c2cc(sc2c(c2c1sc(c2)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(/C(=O)OCCCCCCCC)\C#N)c1ccc(c(c1)F)OC[C@H](CCCC)CC)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C(/C(=O)OCCCCCCCC)\C#N)CC,
123,N#C/C(=C\c1ccc(cc1)N(c1ccccc1)c1ccccc1)/c1ccc(cc1)/C(=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)/C#N,
124,Cc1cc(C)c(c(c1)C)/C/1=C/2\C=CC(=N2)/C(=c\2/cc/c(=C(/C3=N/C(=C(\c4[nH]c1cc4)/c1ccc(cc1)Nc1nc(nc(n1)Nc1ccc(cc1)[C]1c4c(C)cc(n4[B](n4c1c(C)cc4C)(F)F)C)Nc1ccc(cc1)[C]1c4c(C)cc(n4[B](n4c1c(C)cc4C)(F)F)C)/C=C3)\c1c(C)cc(cc1C)C)/[nH]2)/c1ccc(cc1)C(=O)O,
125,CCCC[C@H](Cn1c(c2ccc(s2)c2ccc(cc2)c2nc(nc(n2)c2ccc(cc2)c2ccc(s2)c2n(C[C@@H](CCCC)CC)c(=O)c3c2c(=O)n(c3c2ccc(s2)c2ccc(cc2)N(c2ccc(cc2)C(C)(C)C)c2ccc(cc2)C(C)(C)C)C[C@@H](CCCC)CC)c2ccc(cc2)c2ccc(s2)c2n(C[C@@H](CCCC)CC)c(=O)c3c2c(=O)n(c3c2ccc(s2)c2ccc(cc2)N(c2ccc(cc2)C(C)(C)C)c2ccc(cc2)C(C)(C)C)C[C@@H](CCCC)CC)c2c(c1=O)c(n(c2=O)C[C@H](CCCC)CC)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)CC,
127,CCCCCCn1c(=O)c2c(c1c1ccc(cc1)c1nc(nc(n1)c1ccc(cc1)c1ccc(cc1)c1n(CCCCCC)c(=O)c3c1c(=O)n(c3c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)CCCCCC)c1ccc(cc1)c1ccc(cc1)c1n(CCCCCC)c(=O)c3c1c(=O)n(c3c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)CCCCCC)c(=O)n(c2c1ccc(cc1)c1ccc(cc1)N(c1ccc(cc1)C(C)(C)C)c1ccc(cc1)C(C)(C)C)CCCCCC,
129,CCCCCCn1c(=O)c2c(c1c1ccc(cc1)c1nc(nc(n1)c1ccc(cc1)c1ccc(cc1)c1n(CCCCCC)c(=O)c3c1c(=O)n(c3c1ccc(cc1)c1ccc(cc1)n1c3ccc(cc3c3c1ccc(c3)C(C)(C)C)C(C)(C)C)CCCCCC)c1ccc(cc1)c1ccc(cc1)c1n(CCCCCC)c(=O)c3c1c(=O)n(c3c1ccc(cc1)c1ccc(cc1)n1c3ccc(cc3c3c1ccc(c3)C(C)(C)C)C(C)(C)C)CCCCCC)c(=O)n(c2c1ccc(cc1)c1ccc(cc1)n1c2ccc(cc2c2c1ccc(c2)C(C)(C)C)C(C)(C)C)CCCCCC,
131,CCCC[C@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1ccc(s1)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C[C@H](CCCC)CC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(s1)c1ccc(s1)c1n(C[C@@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)C[C@@H](CCCC)CC)CC,
132,CCCC[C@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1ccc(s1)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)CCCC)C[C@H](CCCC)CC)c1ccc(s1)C[C@H](CCCC)CC)c1ccc(s1)c1ccc(s1)c1n(C[C@@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1ccc(s1)c1ccc(cc1)CCCC)C[C@@H](CCCC)CC)CC,
133,CCCCCCCCOC(=O)/C(=C/c1ccc(s1)c1sc(cc1c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)c1ccc(c2c1nsn2)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)/C#N,
134,CCCCCCCCOC(=O)/C(=C/c1ccc(s1)c1sc(cc1c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)c1sc(cc1CCCCCC)c1ccc2c(c1)N(C[C@H](CCCC)CC)C(=O)/C/2=C\1/C(=O)N(c2c1ccc(c2)c1sc(c(c1)CCCCCC)c1sc(c(c1)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)C[C@H](CCCC)CC)/C#N,
135,CCCCCCCCOC(=O)/C(=C/c1ccc(s1)c1sc(cc1c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)c1sc(cc1CCCCCC)c1sc(cc1CCCCCC)c1ccc2c(c1)N(C[C@H](CCCC)CC)C(=O)/C/2=C\1/C(=O)N(c2c1ccc(c2)c1sc(c(c1)CCCCCC)c1sc(c(c1)CCCCCC)c1sc(c(c1)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)C[C@H](CCCC)CC)/C#N,
136,CCCC[C@@H](CN1C(=O)/C(=C/2\c3ccc(cc3N(C2=O)C[C@H](CCCC)CC)c2cc(c(s2)c2cc(c(s2)c2ccc(s2)/C=C(/C(=O)OCCCCCCCC)\C#N)CCCCCC)CCCCCC)/c2c1cc(cc2)c1cc(c(s1)c1cc(c(s1)c1ccc(s1)/C=C(/C(=O)OCCCCCCCC)\C#N)CCCCCC)CCCCCC)CC,
137,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1cc3c(s1)c1c([C@@]3(C[C@H](CCCC)CC)C[C@H](CCCC)CC)cc3c(c1)[C@](C[C@@H](CCCC)CC)(C[C@@H](CCCC)CC)c1c3sc(c1)c1c(F)c(F)c(c3c1nsn3)c1ccc(s1)c1ccc(s1)CCCCCC)c(=O)n(c2c1ccc(s1)c1cc2c(s1)c1c([C@@]2(C[C@H](CCCC)CC)C[C@H](CCCC)CC)cc2c(c1)[C@](C[C@@H](CCCC)CC)(C[C@@H](CCCC)CC)c1c2sc(c1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)C[C@H](CCCC)CC)CC,
138,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1cc3c(s1)c1c([C@@]3(C[C@H](CCCC)CC)C[C@H](CCCC)CC)cc3c(c1)[C@](C[C@@H](CCCC)CC)(C[C@@H](CCCC)CC)c1c3sc(c1)c1ccc(s1)c1c(F)c(F)c(c3c1nsn3)c1ccc(s1)c1ccc(s1)CCCCCC)c(=O)n(c2c1ccc(s1)c1cc2c(s1)c1c([C@@]2(C[C@H](CCCC)CC)C[C@H](CCCC)CC)cc2c(c1)[C@](C[C@@H](CCCC)CC)(C[C@@H](CCCC)CC)c1c2sc(c1)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)C[C@H](CCCC)CC)CC,
139,CCCC[C@H](Cn1c(=O)c2c(c1c1ncc(s1)c1ccc(s1)c1cc3c(s1)c1c([C@@]3(C[C@H](CCCC)CC)C[C@H](CCCC)CC)cc3c(c1)[C@](C[C@@H](CCCC)CC)(C[C@@H](CCCC)CC)c1c3sc(c1)c1ccc(s1)c1c(F)c(F)c(c3c1nsn3)c1ccc(s1)c1ccc(s1)CCCCCC)c(=O)n(c2c1ncc(s1)c1ccc(s1)c1cc2c(s1)c1c([C@@]2(C[C@H](CCCC)CC)C[C@H](CCCC)CC)cc2c(c1)[C@](C[C@@H](CCCC)CC)(C[C@@H](CCCC)CC)c1c2sc(c1)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)C[C@H](CCCC)CC)CC,
140,CCCC[C@H](C[C@]1(C[C@@H](CCCC)CC)c2cc3c4sc(cc4[C@@](c3cc2c2c1cc(s2)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)(C[C@H](CCCC)CC)C[C@H](CCCC)CC)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)CC,
141,CCCC[C@H](C[C@]1(C[C@@H](CCCC)CC)c2cc3c4sc(cc4[C@@](c3cc2c2c1cc(s2)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)(C[C@H](CCCC)CC)C[C@H](CCCC)CC)c1ccc(s1)c1c(F)c(F)c(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)CC,
142,CCCC[C@H](C[C@]1(C[C@@H](CCCC)CC)c2cc3c4sc(cc4[C@@](c3cc2c2c1cc(s2)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)(C[C@H](CCCC)CC)C[C@H](CCCC)CC)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)CC,
143,CCCCCCc1ccc(s1)c1ccc(s1)c1ccc(s1)[C@H]1C2=C(O)N([C@@H](C2=C(N1C[C@@H](CCCC)CC)O)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)[C@@H]1N(C[C@@H](CCCC)CC)C(=C2C1=C(O)N([C@H]2c1ccc(s1)c1ccc(s1)c1ccc(s1)CCCCCC)C[C@@H](CCCC)CC)O)c1ccc(cc1)[C@H](CC)C)C[C@@H](CCCC)CC,
144,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CC)c1sc(c2c1cc(s2)C(=O)[C@H](CCCC)CC)c1sc(c(c1)CCCCCCCC)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=O)N(C1=S)CC,
145,CCCC[C@H](CN1c2ccc(cc2Sc2c1ccc(c2)C=C1C(=O)c2c(C1=O)cccc2)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CC,
148,CCCC[C@H](CN(c1ccccc1)c1cc(O)c(c(c1)O)[C]1[C@]2([C@]1([C]2c1c(O)cc(cc1O)N(c1ccccc1)C[C@H](CCCC)CC)O)O)CC,
149,CCCCCCCCc1cc(sc1c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C\1/C(=NN(C1=O)c1ccccc1)C)c1sc(c2c1cc(s2)C(=O)[C@H](CCCC)CC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C\1/C(=NN(C1=O)c1ccccc1)C)CCCCCCCC,
150,CCCCCCCCOc1ccc(cc1)c1ccc(cc1)N1N=C(/C(=C/c2sc(c(c2)CCCCCCCC)c2ccc(s2)c2sc(cc2CCCCCCCC)c2sc(c3c2cc(s3)C(=O)[C@H](CCCC)CC)c2sc(c(c2)CCCCCCCC)c2ccc(s2)c2sc(cc2CCCCCCCC)/C=C\2/C(=NN(C2=O)c2ccc(cc2)c2ccc(cc2)OCCCCCCCC)C)/C1=O)C,
151,CCCCN1c2ccc3c(c2C(/C/1=C\[C]1C(=O)[C](C1=O)c1c(O)cc(cc1O)N1CCc2c1cccc2)(C)C)cccc3,
152,CCCCN1c2ccc3c(c2C(/C/1=C\[C]1C(=O)[C](C1=O)c1c(O)cc(cc1O)N1CCc2c1cc(F)cc2)(C)C)cccc3,
153,CCCCN1c2ccc3c(c2C(/C/1=C\[C]1C(=O)[C](C1=O)c1c(O)cc(cc1O)N1CCc2c1cc(F)cc2F)(C)C)cccc3,
154,CCCCN1c2cc3ccccc3cc2C([C@@H]1/C=C\1/C(=C(C1=O)c1c(O)cc(cc1O)N(c1ccc(cc1)C)c1ccc(cc1)C)O)(C)C,
155,CCCCN1c2cc3ccccc3cc2C([C@@H]1/C=C\1/C(=C(C1=O)c1c(O)cc(cc1O)N(c1ccc(cc1)c1ccccc1)c1ccc(cc1)c1ccccc1)O)(C)C,
156,CCCCN1c2cc3ccccc3cc2C([C@@H]1/C=C\1/C(=C(C1=O)c1c(O)cc(cc1O)N(c1ccc(cc1)c1cccc2c1cccc2)c1ccccc1)O)(C)C,
157,CCCCN1c2cc3ccccc3cc2C([C@@H]1/C=C\1/C(=C(C1=O)c1c(O)cc(cc1O)N(c1cccc2c1cccc2)c1cccc2c1cccc2)O)(C)C,
158,CCCCN1c2cc3ccccc3cc2C([C@@H]1/C=C\1/C(=C(C1=O)c1c(O)cc(cc1O)N(c1ccc2c(c1)C(CC)(CC)c1c2cccc1)c1ccc2c(c1)c1ccccc1C2(CC)CC)O)(C)C,
159,CCCCN1c2cc3ccccc3cc2C([C@@H]1/C=C\1/C(=C(C1=O)c1c(O)cc(cc1O)N(c1ccc2c(c1)c1ccccc1n2CC)c1ccc2c(c1)n(CC)c1c2cccc1)O)(C)C,
160,CCCC[C@@H](Cc1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1cc(c(s1)C=C(C#N)C#N)CCCCCC)c1ccc(s1)C[C@H](CCCC)CC)c1cc(c(s1)C=C(C#N)C#N)CCCCCC)CC,
161,CCCC[C@H](Cn1c(=O)c2c(c1c1ccc(s1)c1cc3c(s1)c1c([C@@]3(C[C@H](CCCC)CC)C[C@H](CCCC)CC)cc3c(c1)[C@](C[C@@H](CCCC)CC)(C[C@@H](CCCC)CC)c1c3sc(c1)c1ccc(c3c1nsn3)c1ccc(s1)c1ccc(s1)CCCCCC)c(=O)n(c2c1ccc(s1)c1cc2c(s1)c1c([C@@]2(C[C@H](CCCC)CC)C[C@H](CCCC)CC)cc2c(c1)[C@](C[C@@H](CCCC)CC)(C[C@@H](CCCC)CC)c1c2sc(c1)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc(s1)CCCCCC)C[C@H](CCCC)CC)CC,
162,CCCC[C@H](CN1c2ccc(cc2Sc2c1cccc2)/C=C/c1c(CC)c(c2n1[B](F)(F)n1c([C]2c2ccc(cc2)N(c2ccccc2)c2ccccc2)c(c(c1/C=C/c1ccc2c(c1)Sc1c(N2C[C@H](CCCC)CC)cccc1)CC)C)C)CC,
163,CCCCCCc1cc(sc1C#Cc1ccc(cc1)C#Cc1sc(cc1CCCCCC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C,
164,CCCCCCCCCCCCC1(CCCCCCCCCCCC)c2cc(sc2c2c1cc(s2)C#Cc1sc(cc1CCCCCC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)C#Cc1sc(cc1CCCCCC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C,
165,CCCCCCc1cc(sc1C#Cc1ccc(cc1)N(c1ccc(cc1)C#Cc1sc(cc1CCCCCC)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)c1ccc(cc1)C)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C,
166,CCCCCCc1cc(sc1C#Cc1ccc(cc1)C#Cc1sc(cc1CCCCCC)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C)c1ccc(c2c1nsn2)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)C,
167,CCCCCCCCn1c(=O)c2ccc(c3c2c(c1=O)ccc3)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc2c3c1cccc3c(=O)n(c2=O)CCCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc2c3c1cccc3c(=O)n(c2=O)CCCCCCCC,
168,CCCCCCCCn1c(=O)c2ccc(c3c2c(c1=O)ccc3)c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)c1ccc2c3c1cccc3c(=O)n(c2=O)CCCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)c1ccc2c3c1cccc3c(=O)n(c2=O)CCCCCCCC,
169,CCCCCCCCn1c(=O)c2ccc(c3c2c(c1=O)ccc3)c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(cc1)N(c1ccc(cc1)c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc2c3c1cccc3c(=O)n(c2=O)CCCCCCCC)c1ccc(cc1)c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc2c3c1cccc3c(=O)n(c2=O)CCCCCCCC,
170,CCCC[C@@H](CN1c2ccc(cc2Sc2c1cccc2)[C]1c2c(C)c(c(n2[B](n2c1c(C)c(c2/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)CC)(F)F)/C=C/c1ccc(cc1)N(c1ccccc1)c1ccccc1)CC)CC,
171,CCCCCCCCc1cc(sc1c1ccc(s1)c1cc(c(s1)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CC)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C\1/SC(=S)N(C1=O)CC,
172,CCCCCCCCc1cc(sc1c1sc2c(c1)sc(c2)c1sc(c(c1)CCCCCCCC)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)/C=C\1/SC(N(C1=O)CC)[C](C#N)C#N)c1sc(cc1CCCCCCCC)c1sc(cc1CCCCCCCC)[CH]C1SC(=C(C#N)C#N)N(C1=O)CC,
173,CCCC[C@@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nsn2)c1sc(c(c1)CCCCCC)c1ccc(s1)C[C@@H](CCCC)CC)c1ccc(s1)C[C@H](CCCC)CC)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nsn2)c1sc(c(c1)CCCCCC)c1ccc(s1)C[C@H](CCCC)CC)CC,
174,CCCC[C@@H](Cc1ccc(s1)c1c2cc(sc2c(c2c1sc(c2)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nsn2)c1sc(c(c1)CCCCCC)/C=C(/C(=O)OC[C@@H](CCCC)CC)\C#N)c1ccc(s1)C[C@H](CCCC)CC)c1sc(cc1CCCCCC)c1c(F)c(F)c(c2c1nsn2)c1sc(c(c1)CCCCCC)/C=C(/C(=O)OC[C@H](CCCC)CC)\C#N)CC,
175,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccc(cc1)C)c1ccc(cc1)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)c1sc(c(c1)CCCCCCCCCCCC)c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)C,
176,CCCCCCCCCCCCc1cc(sc1c1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)N(c1ccc(cc1)c1cc(c(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCCCCCCCCCC)c1ccc(cc1)c1ccc(c2c1nsn2)c1ccc(cc1)N(c1ccc(cc1)c1cc(c(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCCCCCCCCCC)c1ccc(cc1)c1cc(c(s1)c1ccc(cc1)N(c1ccccc1)c1ccccc1)CCCCCCCCCCCC,
177,CCCCCCCCCCCCCCCc1c(sc2c1sc1c2sc2c1sc(c2CCCCCCCCCCCCCCC)c1ccc(s1)c1n(C[C@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1cccs1)C[C@@H](CCCC)CC)c1ccc(s1)c1n(CC[C@@H](CCCC)CC)c(=O)c2c1c(=O)n(c2c1cccs1)C[C@@H](CCCC)CC,
178,CCCCCCCCCCCCc1c(sc2c1sc1c2sc2c1sc(c2CCCCCCCCCCCCCCC)c1ccc(s1)[C]1N(C[C@@H](CCCC)CC)C(=O)c2c1c(OC[C@@H](CCCC)CC)nc2c1cccs1)c1ccc(s1)[C]1N(C[C@@H](CCCC)CC)C(=O)c2c1c(OC[C@@H](CCCC)CC)nc2c1cccs1,
179,CCCCCCCC[C@@H](Cc1ccc(s1)c1ccc(s1)c1c2sc(cc2c(c2c1cc(s2)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)/C=C/1\SC(=S)N(C1=O)CC)CCCCCCCC)c1ccc(s1)c1ccc(s1)C[C@H](CCCCCCCC)CCCCCC)c1cc(c(s1)c1ccc(s1)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CC)CCCCCCCC)CCCCCC,
180,CCCCCCCCc1cc(sc1c1sc2c(c1)[S]=C(C2)c1sc(cc1CCCCCCCC)/C=C/1\SC(=S)N(C1=O)CC)c1cc2c(s1)c(c1sc(c(c1)CCCCCC)C[C@@H](CCCC)CC)c1c(c2c2sc(c(c2)CCCCCC)C[C@@H](CCCC)CC)sc(c1)c1sc(c(c1)CCCCCCCC)c1cc2c(s1)cc(s2)c1sc(cc1CCCCCCCC)[CH]C1=[S]C(=S)N(C1=O)CC,
